"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion","synonym"
"Actinella anaglyptica","VU","NT","G","2011","Actinella anaglyptica"
"Canariella pthonera","LR/cd","VU","G","2011","Helix pthonera"
"Canariella pthonera","LR/cd","VU","G","2011","Canariella pthonera"
"Candidula setubalensis","VU","EN","G","2011","Candidula setubalensis"
"Caseolus calvus","VU","EN","G","2011","Helix calva"
"Caseolus calvus","VU","EN","G","2011","Lemniscia calva"
"Caseolus calvus","VU","EN","G","2011","Caseolus calvus"
"Cornu mazzullii","VU","EN","G","2011","Cantareus mazzullii"
"Cornu mazzullii","VU","EN","G","2011","Cornu mazzullii"
"Cornu mazzullii","VU","EN","G","2011","Erctella mazzullii"
"Cornu mazzullii","VU","EN","G","2011","Helix cephalaeditana"
"Discus guerinianus","EN","CR","G","2011","Discus guerinianus"
"Hemicycla inutilis","LR/cd","VU","G","2011","Hemicycla inutilis"
"Lampadia webbiana","VU","EN","G","2011","Lampadia webbiana"
"Leiostyla concinna","VU","EN","G","2011","Leiostyla concinna"
"Leiostyla degenerata","VU","NT","G","2011","Leiostyla degenerata"
"Leiostyla relevata","VU","NT","G","2011","Leiostyla relevata"
"Lemniscia michaudi","VU","NT","G","2011","Helix michaudi"
"Lemniscia michaudi","VU","NT","G","2011","Lemniscia michaudi"
"Orcula fuchsi","LR/nt","CR","G","2011","Orcula fuchsi"
"Plutonia reticulata","EN","CR","G","2011","Plutonia reticulata"
