Scientific name,Common name,"IUCN Red List(2019)Category","IUCN RedList (2020)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Anomaloglossus shrevei,Sapito Niñera de Shreve,DD,NT,N,2020-3
Anomaloglossus wothuja,,DD,LC,N,2020-2
Aphantophryne sabini,Guest House Guinea Frog,DD,LC,N,2020-3
Aquiloeurycea cephalica,Chunky False Brook Salamander,NT,LC,N,2020-2
Aromobates alboguttatus,White-dotted Rocket Frog,EN,CR(PE),N,2020-3
Aromobates duranti,La Culata Rocket Frog,EN,CR,N,2020-3
Aromobates haydeeae,Haydee's Rocket Frog,EN,CR(PE),N,2020-3
Aromobates leopardalis,Mucubají Skunk Frog,CR,CR(PE),N,2020-3
Aromobates molinarii,Molinari's Rocket Frog,EN,CR,N,2020-3
Aromobates orostoma,Tachira Rocket Frog,EN,CR,N,2020-3
Aromobates serranus,Sierra Rocket Frog,EN,CR(PE),N,2020-3
Asterophrys leucopus,,DD,LC,N,2020-3
Atelopus chiriquiensis,Chiriqui Harlequin Frog,CR(PE),EX,G,2020-3
Atelopus chirripoensis,,CR(PE),DD,N,2020-3
Atelopus chrysocorallus,Red and Yellow Stubfoot Toad,CR(PE),CR,N,2020-3
Atelopus muisca,La Arboleda Stubfoot Toad,EN,CR,N,2020-2
Atelopus senex,Pass Stubfoot Toad,CR,EX,G,2020-3
Atelopus tricolor,Bolivian Stubfoot Toad,VU,CR,G,2020-3
Atlantihyla panchoi,Guatemala Stream Frog,EN,CR,G,2020-3
Austrochaperina adamantina,,DD,NT,N,2020-3
Austrochaperina aquilonia,,DD,NT,N,2020-3
Austrochaperina mehelyi,Mehely's Land Frog,DD,LC,N,2020-3
Austrochaperina septentrionalis,,DD,LC,N,2020-3
Austrochaperina yelaensis,,DD,LC,N,2020-3
Barygenys maculata,Spotted Papua Frogs,DD,LC,N,2020-3
Barygenys parvula,Madang Papua Frogs,DD,NT,N,2020-3
