Scientific name,Common name,"IUCN Red List(2009)Category","IUCN RedList (2010)Category","Reason forchange","Red Listversion"
Cycas elongata,,VU,EN,G,2010
Cycas falcata,,DD,VU,N,2010
Cycas guizhouensis,,NT,VU,N,2010
Cycas javana,,DD,EN,N,2010
Cycas lindstromii,,VU,EN,G,2010
Cycas megacarpa,,EN,VU,N,2010
Cycas nathorstii,,DD,VU,N,2010
Cycas ophiolitica,,NT,VU,N,2010
Cycas pachypoda,,VU,CR,G,2010
Cycas panzhihuaensis,,NT,VU,N,2010
Cycas revoluta,Fern Palm,NT,LC,N,2010
Cycas semota,,NT,VU,N,2010
Cycas taitungensis,,VU,EN,G,2010
Cycas tuckeri,,NT,VU,N,2010
Cycas zeylanica,,DD,VU,N,2010
Dioon califanoi,,VU,EN,N,2010
Dioon caputoi,,CR,EN,N,2010
Dioon mejiae,,DD,LC,N,2010
Dioon rzedowskii,,VU,EN,N,2010
Dioon spinulosum,,VU,EN,N,2010
Dioon tomasellii,,EN,VU,N,2010
Encephalartos brevifoliolatus,,EW,EW,G,2010
Encephalartos bubalinus,Lake Natron Cycad,LC,NT,N,2010
Encephalartos cerinus,Waxen Cycad,CR,CR(PE),G,2010
Encephalartos delucanus,,VU,EN,N,2010
Encephalartos ferox,Kozi Cycad,LC,NT,G,2010
Encephalartos kanga,,DD,CR,N,2010
Encephalartos laurentianus,Kwango Giant Cycad,DD,NT,N,2010
Encephalartos macrostrobilus,,VU,EN,N,2010
Encephalartos marunguensis,Marungu Cycad,NT,VU,N,2010
Encephalartos schmitzii,Schmitz's Cycad,NT,VU,N,2010
Encephalartos sclavoi,Sclavo's Cycad,VU,CR,N,2010
