Scientific name,Common name,"IUCN Red List(2017)Category","IUCN RedList (2018)Category","Reason forchange","Red Listversion"
Typhlosaurus lomiae,Lomi's Blind Legless Skink,NT,LC,N,2018-2
Uvidicolus sphyrurus,Border Thick-tailed Gecko,LR/nt,LC,N,2018-1
Vhembelacerta rupicola,Soutpansberg Rock Lizard,NT,LC,N,2018-2
"",,,,,
AMPHIBIANS,,,,,
Adenomera lutzi,Lutz's Tropical Bullfrog,DD,EN,N,2018-1
Alcalus mariae,Palawan Eastern Frog,DD,EN,N,2018-1
Allobates alessandroi,Rocket Frog,DD,EN,N,2018-1
Allobates melanolaemus,,DD,LC,N,2018-2
Alsodes valdiviensis,,DD,EN,N,2018-1
Ameerega bassleri,Pleasing Poison Frog,NT,VU,N,2018-1
Ameerega cainarachi,Cainarachi Poison Frog,VU,EN,N,2018-1
Ameerega rubriventris,Rana Venenosa,DD,EN,N,2018-1
Anomaloglossus kaiei,Kaie Rock Frog,LC,EN,N,2018-1
Ansonia albomaculata,White-lipped Slender Toad,NT,LC,N,2018-1
Ansonia fuliginea,Montane Slender Toad,VU,LC,N,2018-1
Ansonia guibei,Mesilau Stream Toad,EN,CR,G,2018-1
Ansonia hanitschi,Kadamaian Stream Toad,NT,LC,N,2018-1
Ansonia longidigita,Long-fingered Slender Toad,NT,LC,N,2018-1
Ansonia mcgregori,Mcgregor's Toad,VU,LC,N,2018-2
Ansonia minuta,Dwarf Slender Toad,NT,LC,N,2018-1
Ansonia muelleri,Mueller’s Toad,VU,LC,N,2018-2
Ansonia penangensis,Penang Stream Toad,VU,LC,N,2018-2
Ansonia platysoma,,EN,LC,N,2018-1
Ansonia spinulifer,Spiny Slender Toad,NT,LC,N,2018-1
Ansonia torrentis,Gunung Mulu Stream Toad,VU,LC,N,2018-1
Atelopus andinus,,CR,EN,N,2018-2
Atelopus balios,Rio Pescado Stubfoot Toad,CR(PE),CR,N,2018-1
Atelopus epikeisthos,,CR,EN,N,2018-1
Atelopus exiguus,,CR,EN,N,2018-1
Atelopus ignescens,Quito Stubfoot Toad,EX,CR,N,2018-1
Atelopus nanay,,CR(PE),CR,N,2018-1
Atelopus nepiozomus,Gualecenita Stubfoot Toad,CR,EN,N,2018-1
Atelopus orcesi,,CR,CR(PE),N,2018-1
Atelopus palmatus,,DD,CR,N,2018-1
Atelopus pulcher,Arlequín Camuflado Peruano,CR,VU,G,2018-2
Atelopus seminiferus,Upper Amazon Stubfoot Toad,CR,EN,N,2018-1
Barbourula busuangensis,Busuanga Jungle Toad,VU,NT,N,2018-2
Boana melanopleura,,DD,LC,N,2018-1
Bolitoglossa palmata,Amazon Mushroomtongue Salamander,VU,LC,N,2018-1
Bryophryne bustamantei,,EN,LC,N,2018-1
Bryophryne gymnotis,,DD,LC,N,2018-1
Centrolene hesperium,Basecamp Giant Glass Frog,VU,EN,N,2018-2
Chalcorana crassiovis,Korinchi Frog,DD,LC,N,2018-1
Chalcorana macrops,,NT,VU,N,2018-2
Chiasmocleis devriesi,,DD,LC,N,2018-2
Chiasmocleis magnova,,DD,LC,N,2018-2
Chimerella mariaelenae,Rana de Cristal de María Elena,VU,LC,N,2018-1
Cochranella erminea,,DD,LC,N,2018-1
Cochranella euhystrix,Ridge Cochran Frog,DD,CR,N,2018-2
Cochranella geijskesi,Wilhelmina Cochran Frog,DD,LC,N,2018-1
Colostethus ruthveni,,EN,NT,N,2018-1
Crotaphatrema lamottei,Mount Oku Caecilian,DD,CR,N,2018-1
Ctenophryne barbatula,,VU,EN,N,2018-1
Duttaphrynus sumatranus,,CR,DD,N,2018-1
Ecnomiohyla phantasmagoria,,EN,DD,N,2018-1
Espadarana audax,Napo Giant Glass Frog,EN,LC,N,2018-1
Excidobates captivus,Rio Santiago Poison Frog,LC,VU,N,2018-2
Feihyla kajau,White-eared Tree Frog,NT,LC,N,2018-1
Gastrotheca ochoai,Chilca Marsupial Frog,DD,EN,N,2018-1
Gastrotheca orophylax,Papallacta Marsupial Frog,EN,VU,N,2018-2
Gastrotheca pacchamama,Ayacucho Marsupial Frog,DD,EN,N,2018-1
Gastrotheca pseustes,San Lucas Marsupial Frog,EN,NT,N,2018-2
Gastrotheca rebeccae,,DD,EN,N,2018-1
Gastrotheca zeugocystis,,CR,DD,N,2018-1
Glyphoglossus flavus,,DD,LC,N,2018-1
Glyphoglossus smithi,,DD,NT,N,2018-1
Glyphoglossus volzi,,DD,LC,N,2018-1
Huia masonii,Javan Torrent Frog,VU,LC,N,2018-2
Huia modiglianii,,DD,LC,N,2018-2
Hyloscirtus lindae,Linda's Treefrog,VU,LC,N,2018-2
Hyloscirtus pantostictus,Rio Chingual Valley Treefrog,EN,CR,N,2018-1
Hyloxalus insulatus,,DD,VU,N,2018-2
Hyloxalus sylvaticus,Forest Rocket Frog,DD,EN,N,2018-1
Hyperolius ademetzi,Bamenda Reed Frog,NT,EN,N,2018-1
Hyperolius hutsebauti,,DD,LC,N,2018-1
Hypodactylus araiodactylus,,DD,EN,N,2018-1
Hypodactylus lucida,Cannatella's Andes Frog,CR,EN,N,2018-1
Ichthyophis hypocyaneus,Javan Caecilian,DD,LC,N,2018-2
Ichthyophis mindanaoensis,Todaya Caecilian,DD,LC,N,2018-1
Ichthyophis paucisulcus,Yellow-banded Caecilian,DD,LC,N,2018-1
Ichthyophis weberi,Malatgan River Caecilian,DD,EN,N,2018-1
Insuetophrynus acarpicus,Barrio's Frog,CR,EN,N,2018-1
