Scientific name,Common name,"IUCN Red List(2021)Category","IUCN RedList (2022)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Pseudophilautus macropus,Bigfoot Shrub Frog,CR,EN,N,2022-1
Pseudophilautus sordidus,Grubby Shrub Frog,NT,VU,N,2022-1
Quasipaa verrucospinosa,Granular Spiny Frog,NT,LC,N,2022-1
Salamandra lanzai,Lanza's Alpine Salamander,VU,CR,G,2022-1
Salamandrina perspicillata,Northern Spectacled Salamander,LC,EN,G,2022-1
Speleomantes ambrosii,Ambrosi's Cave Salamander,NT,CR,G,2022-1
Speleomantes flavus,Mount Albo's Cave Salamander,VU,EN,N,2022-1
Speleomantes italicus,Italian Cave Salamander,NT,EN,G,2022-1
Speleomantes sarrabusensis,Sette Fratelli Cave Salamander,VU,CR,G,2022-1
Speleomantes strinatii,French Cave Salamander,NT,EN,G,2022-1
Triturus dobrogicus,Danube Crested Newt,NT,LC,N,2022-1
Zhangixalus dorsoviridis,Green-back Treefrog,DD,VU,N,2022-1
Zhangixalus duboisi,Dubois' Whipping Frog,DD,VU,N,2022-1
"",,,,,
BONY FISHES (Actinopterygii),,,,,
Acipenser baerii,Siberian Sturgeon,EN,CR,N,2022-1
Acipenser dabryanus,Yangtze Sturgeon,CR,EW,N,2022-1
Acipenser fulvescens,Lake Sturgeon,LC,EN,N,2022-1
Acipenser medirostris,Green Sturgeon,NT,EN,N,2022-1
Acipenser oxyrinchus,Atlantic Sturgeon,NT,VU,N,2022-1
Acipenser ruthenus,Sterlet,VU,EN,N,2022-1
Acipenser transmontanus,White Sturgeon,LC,VU,N,2022-1
Ailia punctata,,DD,LC,N,2022-1
Alosa algeriensis,North African Shad,DD,EN,N,2022-1
Aspidoras maculosus,,LC,DD,N,2022-1
Astyanax trierythropterus,,VU,LC,N,2022-1
Bagarius bagarius,,NT,VU,N,2022-1
Barbodes tumba,,VU,EN,N,2022-1
Brycon orthotaenia,,VU,LC,N,2022-1
Carasobarbus harterti,Stripeless Himri,VU,CR,G,2022-1
Cobitis maroccana,Moroccan Spined Loach,VU,LC,N,2022-1
Copionodon pecten,,LC,NT,N,2022-1
Crenicichla prenda,,DD,NT,N,2022-1
Cyphocharax corumbae,,NT,LC,N,2022-1
Cyprinus multitaeniatus,,DD,NT,E,2022-1
Elopichthys bambusa,Yellowcheek,DD,LC,N,2022-1
Haplochromis desfontainii,Blue Lip Cichlid,EN,CR,G,2022-1
Hemipsilichthys papillatus,,LC,NT,N,2022-1
Istiophorus platypterus,Sailfish,LC,VU,N,2022-1
Kajikia albida,White Marlin,VU,LC,G,2022-1
Kajikia audax,Striped Marlin,NT,LC,G,2022-1
Labeobarbus huloti,,VU,DD,N,2022-1
Labeobarbus reinii,Giant Atlas Barbel,VU,EX,N,2022-1
Lacustricola matthesi,Saisi Lampeye,LC,EN,N,2022-1
Lates macrophthalmus,Albert Lates,EN,VU,N,2022-1
Lepthoplosternum tordilho,,EN,NT,N,2022-1
Leptolebias marmoratus,Annual Tropical Killifish,VU,CR,N,2022-1
Leptopanchax opalescens,Annual Tropical Killifish,VU,CR,G,2022-1
Luciobarbus antinorii,Chott el Djerid Barbel,DD,EX,G,2022-1
Luciobarbus figuigensis,Figuig barbel,LC,VU,N,2022-1
Luciobarbus ksibi,Atlas Barbel,VU,LC,N,2022-1
Luciobarbus leptopogon,Algier Barbel,DD,EN,N,2022-1
Luciobarbus magniatlantis,Tensift Riffle Barbel,LC,EN,N,2022-1
Luciobarbus nasus,,NT,EX,N,2022-1
Mormyrus macrocephalus,,LC,VU,N,2022-1
Mormyrus niloticus,Elephant Snout,DD,NT,N,2022-1
Mylopharyngodon piceus,Black Carp,DD,LC,N,2022-1
Nannocharax niloticus,Broadbar Citharine,LC,DD,N,2022-1
Notholebias minimus,Annual Tropical Killifish,VU,EN,N,2022-1
Ophthalmolebias constanciae,Annual Tropical Killifish,VU,CR,G,2022-1
Oreochromis esculentus,Singidia Tilapia,CR,NT,N,2022-1
Oreochromis variabilis,Victoria Tilapia,CR,NT,N,2022-1
Phreatobius cisternarum,,DD,LC,N,2022-1
Pimelodella kronei,,DD,EN,N,2022-1
Psephurus gladius,Chinese Paddlefish,CR,EX,G,2022-1
Pterocapoeta maroccana,Atlas Scaper,DD,VU,N,2022-1
Pungitius bussei,,DD,LC,N,2022-1
Salaria atlantica,Moroccan Freshwater Blenny,VU,EN,G,2022-1
Scaphirhynchus albus,Pallid Sturgeon,EN,CR,N,2022-1
Squaliobarbus curriculus,Barbel Chub,DD,LC,N,2022-1
Stygichthys typhlops,,DD,EN,N,2022-1
Synodontis macrops,,VU,DD,N,2022-1
Tropidophoxinellus callensis,Maghreb Bleak,DD,LC,N,2022-1
Xiphias gladius,Swordfish,LC,NT,G,2022-1
"",,,,,
BEETLES (Coleoptera),,,,,
Phausis rhombica,,LC,DD,E,2022-1
"",,,,,
"CRUSTACEANS (Branchiopoda, Mxillopoda, Ostracoda, Malacostraca)",,,,,
