Scientific name,Common name,"IUCN Red List(2012)Category","IUCN RedList (2013)Category","Reason forchange","Red Listversion"
Palaemonias ganteri,Kentucky Cave Shrimp,EN,VU,N,2013.1
Troglocaris anophthalmus,,VU,LC,N,2013.1
Typhlatya monae,Mona Cave Shrimp,VU,LC,N,2013.1
"",,,,,
MOLLUSCS,,,,,
Conus zebroides,,VU,NT,N,2013.1
"",,,,,
CONIFERS,,,,,
Abies cilicica,Cilician Fir,LC,NT,N,2013.1
Abies fabri,Faber’s Fir,LC,VU,N,2013.1
Abies fraseri,Fraser's Fir,VU,EN,N,2013.1
Abies guatemalensis,Guatemalan Fir,VU,EN,N,2013.1
Abies hickelii,Hickel's Fir,VU,EN,N,2013.1
Abies hidalgensis,,DD,VU,N,2013.1
Abies holophylla,Needle Fir,LC,NT,N,2013.1
Abies homolepis,Nikko Fir,LC,NT,N,2013.1
Abies recurvata,Min Fir,LC,VU,N,2013.1
Abies vejarii,Vejar's Fir,LC,NT,N,2013.1
Actinostrobus pyramidalis,Swan River Cypress,NT,LC,N,2013.1
Afrocarpus usambarensis,,VU,EN,N,2013.1
Agathis kinabaluensis,,VU,EN,N,2013.1
Agathis labillardieri,New Guinea Kauri,LC,NT,N,2013.1
Agathis macrophylla,Fijian Kauri Pine,NT,EN,N,2013.1
Agathis microstachya,Atherton Kauri Pine,LR/cd,NT,N,2013.1
Agathis orbicula,,VU,EN,N,2013.1
Agathis silbae,,VU,NT,N,2013.1
Amentotaxus argotaenia,Catkin Yew,VU,NT,N,2013.1
Amentotaxus assamica,Assam Catkin Yew,VU,EN,N,2013.1
Amentotaxus formosana,Taiwan Catkin Yew,CR,VU,N,2013.1
Amentotaxus yunnanensis,Yunnan Catkin Yew,EN,VU,N,2013.1
Araucaria araucana,Monkey Puzzle,VU,EN,N,2013.1
Athrotaxis laxifolia,,VU,EN,N,2013.1
Austrocedrus chilensis,Chilean Cedar,VU,NT,N,2013.1
Callitris baileyi,Bailey's Cypress-pine,VU,NT,N,2013.1
Callitris drummondii,Drummond's Cypress-pine,VU,NT,N,2013.1
Callitris roei,Roe's Cypress-pine,VU,NT,N,2013.1
Calocedrus macrolepis,Chinese Incense-cedar,VU,NT,N,2013.1
Cathaya argyrophylla,,LR/cd,VU,N,2013.1
Cedrus atlantica,Atlas Cedar,LC,EN,G,2013.1
Cephalotaxus lanceolata,Gongshan Plum Yew,VU,EN,N,2013.1
Cephalotaxus latifolia,Broad-leaved Plum Yew,LC,NT,N,2013.1
Chamaecyparis lawsoniana,Port Orford Cedar,VU,NT,G,2013.1
Cunninghamia konishii,,VU,EN,N,2013.1
Cupressus cashmeriana,Bhutan Cypress,VU,NT,N,2013.1
Cupressus duclouxiana,Yunnan Cypress,EN,DD,N,2013.1
Cupressus funebris,Funereal Cypress,LC,DD,N,2013.1
Cupressus goveniana,Gowen Cypress,VU,EN,N,2013.1
Cupressus guadalupensis,Guadalupe Cypress,VU,EN,N,2013.1
Cupressus sargentii,Sargent Cypress,LC,VU,N,2013.1
Cupressus sempervirens,Mediterranean Cypress,NT,LC,N,2013.1
Dacrycarpus kinabaluensis,,LR/cd,LC,N,2013.1
Dacrydium ericioides,,VU,LC,N,2013.1
Dacrydium gibbsiae,,LR/cd,LC,N,2013.1
Dacrydium gracile,,VU,NT,N,2013.1
Dacrydium medium,,LC,VU,N,2013.1
Dacrydium pectinatum,,LC,EN,N,2013.1
Falcatifolium angustum,,VU,EN,N,2013.1
Falcatifolium falciforme,,LC,NT,N,2013.1
Fokienia hodginsii,Fujian Cypress,NT,VU,N,2013.1
Halocarpus kirkii,,VU,NT,N,2013.1
Juniperus angosturana,,LC,VU,N,2013.1
Juniperus blancoi,,VU,NT,N,2013.1
Juniperus convallium,,DD,LC,N,2013.1
Juniperus durangensis,,VU,LC,N,2013.1
Juniperus gamboana,,VU,EN,N,2013.1
Juniperus komarovii,,NT,LC,N,2013.1
Juniperus procera,African Pencil Cedar,NT,LC,N,2013.1
Juniperus przewalskii,Przewalsi Juniper,NT,LC,N,2013.1
Juniperus saltillensis,,LC,EN,N,2013.1
Juniperus saxicola,,VU,CR,N,2013.1
Juniperus taxifolia,Luchu Juniper,DD,NT,N,2013.1
Juniperus tibetica,Tibetan Juniper,LC,VU,N,2013.1
Keteleeria evelyniana,,LC,VU,N,2013.1
Lagarostrobos franklinii,Huon Pine,LR/cd,LC,N,2013.1
Larix mastersiana,Masters' Larch,VU,EN,N,2013.1
Lepidothamnus fonkii,Chilean Rimu,VU,LC,N,2013.1
Libocedrus bidwillii,Cedar,LC,NT,N,2013.1
Metasequoia glyptostroboides,Dawn Redwood,CR,EN,N,2013.1
Nageia maxima,,VU,EN,G,2013.1
Nageia motleyi,,LC,VU,G,2013.1
Nothotsuga longibracteata,Bristlecone Hemlock,EN,NT,N,2013.1
Pherosphaera fitzgeraldii,Dwarf Mountain Pine,EN,CR,N,2013.1
Pherosphaera hookeriana,Mount Mawson Pine,LC,NT,N,2013.1
Picea alcoquiana,Alcock's Spruce,LC,NT,N,2013.1
Picea asperata,Dragon Spruce,LC,VU,N,2013.1
Picea breweriana,Brewer's Spruce,NT,VU,N,2013.1
Picea farreri,Farrer's Spruce,EN,VU,N,2013.1
Picea linzhiensis,,LC,NT,N,2013.1
Picea martinezii,Martinez's Spruce,CR,EN,N,2013.1
Picea maximowiczii,Maximowicz's Spruce,VU,EN,N,2013.1
Picea meyeri,Meyer's Spruce,LC,NT,N,2013.1
Picea neoveitchii,Veitch's Spruce,EN,CR,N,2013.1
Picea purpurea,Purple Cone Spruce,LC,NT,G,2013.1
Picea retroflexa,Tapao Shan spruce,VU,EN,N,2013.1
Pinus albicaulis,Whitebark Pine,VU,EN,G,2013.1
Pinus aristata,Rocky Mountain Bristlecone Pine,NT,LC,N,2013.1
Pinus clausa,Sand Pine,NT,LC,N,2013.1
Pinus coulteri,Coulter Pine,LC,NT,G,2013.1
Pinus dalatensis,Dalat Pine,DD,NT,N,2013.1
Pinus durangensis,Durango Pine,LC,NT,G,2013.1
Pinus greggii,Gregg’s Pine,NT,VU,N,2013.1
Pinus lumholtzii,Lumholtz's Pine,LC,NT,N,2013.1
Pinus monticola,Western White Pine,LC,NT,N,2013.1
Pinus morrisonicola,Taiwan White Pine,LC,NT,N,2013.1
Pinus muricata,Bishop Pine,NT,VU,N,2013.1
Pinus nelsonii,Nelson Pinyon Pine,VU,EN,N,2013.1
Pinus occidentalis,Hispaniolan Pine,NT,EN,N,2013.1
Pinus palustris,Longleaf Pine,VU,EN,N,2013.1
Pinus pinceana,Weeping Pinyon Pine,NT,LC,N,2013.1
Pinus praetermissa,,LC,NT,N,2013.1
Pinus radiata,Monterey Pine,LR/cd,EN,G,2013.1
Pinus rzedowskii,Rzedowski's Pine,EN,VU,N,2013.1
Pinus torreyana,Torrey Pine,VU,CR,N,2013.1
Pinus tropicalis,Tropical Pine,LC,VU,N,2013.1
Pinus virginiana,Virginia Pine,NT,LC,N,2013.1
Podocarpus affinis,,VU,NT,N,2013.1
Podocarpus archboldii,,LC,VU,N,2013.1
Podocarpus brevifolius,,VU,NT,N,2013.1
Podocarpus confertus,,LC,EN,G,2013.1
Podocarpus costaricensis,,VU,CR,N,2013.1
Podocarpus deflexus,,EN,NT,N,2013.1
Podocarpus dispermus,Broad-leaved Brown Pine,NT,LC,N,2013.1
Podocarpus fasciculus,,NT,VU,N,2013.1
Podocarpus glomeratus,,LC,NT,N,2013.1
Podocarpus henkelii,Henkel's Yellowwood,LC,EN,N,2013.1
Podocarpus macrocarpus,,LC,EN,N,2013.1
Podocarpus madagascariensis,,LC,NT,N,2013.1
Podocarpus matudae,,NT,VU,N,2013.1
Podocarpus micropedunculatus,,DD,NT,N,2013.1
Podocarpus parlatorei,,DD,NT,N,2013.1
Podocarpus ridleyi,,LC,VU,G,2013.1
Podocarpus rumphii,,LC,NT,G,2013.1
Podocarpus rusbyi,,DD,VU,N,2013.1
Podocarpus salomoniensis,,DD,NT,N,2013.1
Podocarpus sellowii,,DD,EN,N,2013.1
Podocarpus smithii,,LR/cd,LC,N,2013.1
Podocarpus sprucei,,LC,EN,N,2013.1
Podocarpus teysmannii,,LC,NT,G,2013.1
Podocarpus transiens,,DD,EN,N,2013.1
Podocarpus trinitensis,,DD,NT,N,2013.1
Podocarpus urbanii,Blue Mountain Yacca,NT,CR,G,2013.1
Prumnopitys exigua,,DD,NT,N,2013.1
Prumnopitys ladei,Mt Spurgeon Black Pine,LR/cd,VU,N,2013.1
Prumnopitys montana,,LC,VU,N,2013.1
Prumnopitys standleyi,,DD,EN,N,2013.1
Pseudolarix amabilis,Chinese Golden Larch,DD,VU,N,2013.1
Pseudotaxus chienii,Whiteberry Yew,EN,VU,N,2013.1
Pseudotsuga japonica,Japanese Douglas-fir,VU,EN,N,2013.1
Sciadopitys verticillata,Japanese Umbrella Pine,VU,NT,N,2013.1
Sequoia sempervirens,Redwood,VU,EN,N,2013.1
Sequoiadendron giganteum,Giant Sequoia,VU,EN,N,2013.1
Taxus chinensis,Chinese Yew,LC,EN,G,2013.1
Taxus globosa,Mesoamerican Yew,NT,EN,G,2013.1
Thuja standishii,Japanese Arbor-vitae,LC,NT,N,2013.1
Thuja sutchuenensis,,CR,EN,N,2013.1
Torreya californica,California Nutmeg,LR/cd,VU,N,2013.1
Tsuga canadensis,Eastern Hemlock,LC,NT,G,2013.1
Tsuga sieboldii,Southern Japanese Hemlock,LC,NT,N,2013.1
Widdringtonia cedarbergensis,Clanwilliam Cedar,EN,CR,N,2013.1
Widdringtonia schwarzii,Willowmore Cedar,VU,NT,N,2013.1
Widdringtonia whytei,Mulanje Cedar,EN,CR,G,2013.1
Xanthocyparis vietnamensis,Golden Vietnamese Cypress,CR,EN,N,2013.1
"",,,,,
FLOWERING PLANTS,,,,,
Aloe eminens,,LR/nt,EN,N,2013.2
Anthurium lennartii,,VU,EN,N,2013.1
Anthurium lingua,,NT,LC,N,2013.1
Ariocarpus agavoides,Tamaulipas Living Rock Cactus,VU,EN,N,2013.1
Ariocarpus bravoanus,,VU,EN,N,2013.1
Ariocarpus scaphirostris,,VU,EN,G,2013.1
Arthrocereus rondonianus,,VU,LC,N,2013.1
Aztekium hintonii,,LC,NT,N,2013.1
Brachycereus nesioticus,Lava Cactus,VU,LC,N,2013.1
Brasilicereus markgrafii,,EN,VU,N,2013.1
Cereus mirabella,,VU,EN,G,2013.1
Cipocereus bradei,,EN,VU,N,2013.1
Cipocereus crassisepalus,,VU,EN,N,2013.1
Coryphantha robustispina,Pima Pineapple Cactus,EN,LC,N,2013.1
Coryphantha vogtherriana,,CR,LC,N,2013.1
Cumarinia odorata,,VU,LC,N,2013.1
Discocactus bahiensis,,EN,VU,N,2013.1
Discocactus catingicola,,VU,LC,N,2013.1
Discocactus heptacanthus,,DD,NT,N,2013.1
Discocactus horstii,,EN,VU,G,2013.1
Discocactus placentiformis,,VU,LC,N,2013.1
Discocactus zehntneri,,VU,NT,N,2013.1
Diospyros katendei,,CR,CR(PE),G,2013.2
Echinocactus grusonii,Golden Barrel,CR,EN,N,2013.1
Espostoopsis dybowskii,,EN,VU,N,2013.1
Facheiroa ulei,,DD,LC,N,2013.1
Ficus faulkneriana,,CR,VU,N,2013.2
