"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
85850161,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria donniana","(Sm.) Müll.Hal.",NA,NA,NA,"LC","Donn’s Rock-bristle"
85850281,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria irrigata","(H.K.G.Paul) Ochyra &amp; Gos",NA,NA,NA,"VU",NA
85850373,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria oelandica","C.E.O.Jensen &amp; Medelius",NA,NA,NA,"NT","Irish Rock-bristle"
85850507,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria patula","(Lindb.) Broth.",NA,NA,NA,"LC",NA
85850519,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Blindiadelphus","Blindiadelphus polaris","(Berggr.) Fedosov &amp; Ignatov",NA,NA,NA,"VU",NA
85850537,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria pusilla","(Hedw.) Bruch &amp; Schimp.",NA,NA,NA,"LC","Dwarf Rock-bristle"
85850604,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Blindiadelphus","Blindiadelphus recurvatus","(Hedw.) Fedosov &amp; Ignatov",NA,NA,NA,"LC","Recurved Rock-bristle"
85850632,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Blindiadelphus","Blindiadelphus subimmersus","(Lindb.) Fedosov &amp; Ignatov",NA,NA,NA,"EN",NA
85850641,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria trifaria","(Brid.) Lindb.",NA,NA,NA,"DD","Trifid Rock-bristle"
85850687,"PLANTAE","BRYOPHYTA","BRYOPSIDA","GRIMMIALES","SELIGERIACEAE","Seligeria","Seligeria tristichoides","Kindb.",NA,NA,NA,"NT",NA
